Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
City Hunter (2011 TV series),-,"Hwang Eun-kyung, Choi Soo-jin",Jin Hyuk,"Lee Min-ho, Park Min-young, Lee Joon-hyuk, Kim Sang-joong, Hwang Sun-hee, Goo Hara, Chun Ho-jin","Action, Thriller, Romance",SBS TV,20,"May 25 –
July 28, 2011",2011,-,"In 1983, theSouth Korean PresidentChun Doo-hwanand his delegates are visitingBurmawhen a bomb planted by North Korean agents explodes, killing some high-ranking officials. This historical event is called theRangoon bombing(also known as the Rangoon incident). To strike back, five South Korean officials plan a covert operation, codenamed ""Operation Cleansweep"", to enter North Korea and kill several top members of the North's high command. Lee Jin-pyo (Kim Sang-joong) and Park Moo-yeol (Park Sang-min), twoPresidential Security Servicebodyguards and best friends who were present at the bombing, organize a 21-man team for the mission. However, as the team wreaks havoc in Pyongyang, the five officials, by a majority decision of 4 to 1, abort the plan to avoid an international crisis if the mission is discovered. Their major concern is that the United States will withdraw itsnuclear protectionif the mission is made public. In light of Seoul's official declaration, it will not retaliate."
Scent of a Woman (TV series),-,Noh Ji-seol,Park Hyung-ki,"Kim Sun-a, Lee Dong-wook, Um Ki-joon, Seo Hyo-rim","Romance, Drama",SBS TV,16,"23 July –
11 September 2011",2011,-,"As a single, unmarried woman in her mid-thirties, Lee Yeon-jae (Kim Sun-a) is meek and timid, considered a spinster by society. After spending ten years working for the same travel company owned by Kang Chul-man, she is falsely accused of stealing from a client. In addition to enduring the accusations of her superiors, she is diagnosed withgallbladder cancerwith approximately six months left to live. Mustering up her courage, Yeon-jae resigns and embraces her remaining six months of life."
"Hur Jun, The Original Story",-,Choi Wan-kyu,"Kim Geun-hong, Kwon Sung-chang","Kim Joo-hyuk, Park Jin-hee, Park Eun-bin, Namkoong Min, Baek Yoon-sik","Historical drama, Medical drama, Romance",MBC TV,135,"March 18 –
September 23, 2013",2013,-,"Heo Junis the son of aconcubineand the governor ofYeongcheon. When he witnesses brilliant doctor Yoo Ui-tae save a dying person, he decides to become a doctor. First he works as a medicinal herb gatherer, then with the help of Ye-jin at Yoo Ui-tae's clinic, he studies rare medical texts imported from theMing dynasty. With his expanded medical knowledge, Heo Jun begins to treat patients under Yoo Ui-tae's tutelage. But he later despairs of his inability to cure his mentor's stomach cancer. Despite the era's oppressive caste system and his commoner background, Heo Jun rises to the top of his field and becomesKing Seonjo's royal physician."
The Mysterious Class,-,Han Song-yi,Ha Han-me,"Haruto Watanabe, Kim Do-young, Choi Hyun-suk, Bang Ye-dam, Asahi Hamada, So Jung-hwan, Yoon Jae-hyuk, Yoshinori Kanemoto, Park Jeong-woo, Kim Jun-kyu, Park Ji-hoon, Mashiho Takata","Supernatural thriller, Mystery",YouTube,8,"12 November –
31 December 2021",2021,-,"In Boseok Boys High School, the students of Grade 12 – Class 4 are trying to come into terms with the possibility of aghostlurking in theirhomeroomafter discovering that their class of 21 students was supposed to have only 20. A series of spooky events drove the students to suspect each other while trying to solve the mystery of their class' resident ghost, who might simply be posing as one of their classmates."
Reset (South Korean TV series),-,"Kim Yong-kyun, Kim Pyung-joong",Jang Hyuk-rin,"Chun Jung-myung, Kim So-hyun","Crime drama, Mystery, Thriller",OCN,10,"August 24 –
October 26, 2014",2014,-,"Cha Woo-jin's first love, Seung-hee, was murdered 15 years ago. Obsessed with finding her killer, Woo-jin became a prosecutor and has since devoted his career to putting violent criminals behind bars. With ten days left before thestatute of limitationson Seung-hee's case runs out, Woo-jin meets a 17-year-old high school girl named Jo Eun-bi wholooks exactly likeSeung-hee. Their meeting catalyzes a chain of events that lead Woo-jin nearer to uncovering the truth about the original crime, but Eun Bi's involvement in the investigation makes her the killer's new target."
"I Do, I Do (TV series)",-,Jo Jung-hwa,Kang Dae-sun,"Kim Sun-a, Lee Jang-woo, Park Gun-hyung, Im Soo-hyang","Romance, Comedy, Drama",MBC TV,16,"May 30 –
July 19, 2012",2012,-,"Hwang Ji-ahn is in her late thirties and works as a director of a shoe company. She likes being single and has no plans to get married. Meanwhile, Tae-kang only has a high school diploma but wants a career as a shoe designer. After a one-night stand, Tae-kang gets Ji-ahn pregnant and their lives become entangled. Fighting against rigid social mores, the two of them try to navigate a messy and challenging world. But these two people persevere despite the obstacles before them, searching for true happiness despite living in a society where morally acceptable behavior is in constant flux."
The Kingdom of the Winds,The Land of Wind,"Choi Wan-kyu, Jin-ok Jeong","Ji Byung-Hyun, Kang Il-Soo","Song Il-kook, Choi Jung-won, Park Gun-hyung, Jung Jin-young","epic, Action-adventure, History, Korean drama",KBS2,36,"10 September 2008 –
15 January 2009","2008, 2009",-,"WhileKing Yuriis away fighting barbarians, the heads of tribes stage acoupagainst him, but he defeats them and kills the mastermind. Sang Ga, the head of the Biru tribe is spared of punishment because of his refusal to contribute in the coup. Yuri'snew sonis born with a grim prophecy that he will kill his family and ruin thekingdom. Yuri announces he will kill the baby to prevent the prophecy. Prince Hae Myeong disagrees; but to no avail. The baby is apparently killed in the ceremony, but Yuri gives him to Hae Myeong alive and healthy and tells him to take the baby somewhere he could grow up and live his life, naming him Muhyul (meaning ""soulless""). Hae Myeong gives Muhyul to his former love Hye-Ap, who protectsJumong's tomb in the cave."
The Idolmaster KR,-,-,-,"Kim Sori, Heo Youngjoo, Yukika Teramoto, Kwon Haseo, Lee Jeewon, Mint, Lee Yeeun, Cha Jiseul, Lee Suji, Chun Jane, Jung Taeri, Sung Hoon, Park Chul-min, Kang Yeseul, Lee Ka-eun",Drama,"SBS Plus, SBS funE, SBS MTV (pay TV)
Amazon Video (streaming)",24,"April 28 –
October 6, 2017",2017,-,"The Idolmaster KR (stylized The IDOLM@STER.KR) is a South Korean television drama based on Bandai Namco Entertainment's The Idolmaster video game series. It premiered on Amazon Prime Video on April 28, 2017 as an Amazon original series. It ran for 24 episodes."
Warrior Baek Dong-soo,"The Warrior, Baek Dong-soo",Kwon Soon-kyu,"Lee Hyun-jik, Kim Hong-sun","Ji Chang-wook, Yoo Seung-ho, Yoon So-yi, Shin Hyun-been, Choi Min-soo, Jun Kwang-ryul","Historical, Action, Romance, Coming of age",Seoul Broadcasting System,29 (+1 special),"4 July –
10 October 2011",2011,-,"Set against the backdrop of political maneuverings in Joseon between different factions, namely those led by King Jeongjo (Hong Jong-hyun), by theQingambassador, by the Japanese swordsman Kenzo (Lee Yong-woo), and the assassin's guild Heuksa Chorong, the series is acoming-of-age dramaabout brotherhood, friendship, loyalty and honor."
When I Was the Most Beautiful,-,Jo Hyoun-kyoung,Oh Kyung-hoon,"Im Soo-hyang, Ji Soo, Ha Seok-jin, Hwang Seung-eon","Romance, Melodrama",MBC TV,32,"August 19 –
October 15, 2020",2020,-,"The drama tells the story Oh Ye-ji (Im Soo-hyang), an art student who dreams of becoming aceramicartist. She heads to a school inYangpyeongas both a student and a teacher, where she meets brothers Seo Hwan (Ji Soo) and Seo Jin (Ha Seok-jin). Hwan, who is Ye-ji's student, falls in love with her and takes her to his father's workshop to confess his feelings. However, at the workshop, Ye-ji meets Jin. Although Jin is aware of Hwan's feelings toward Ye-ji, he does not hesitate to win over her heart and eventually gets engaged to her. Overnight, those who are meant to be each other's strongest supporters end up becoming the worst enemies thanks to a twist of fate. Straddling desire and love, the three struggle to figure out what's right during the most beautiful time of their lives."
"Eighteen, Twenty-Nine","18, 29, 18:29, 18 vs. 29","Go Bong-hwang, Kim Kyung-hee","Kim Won-yong, Ham Young-hoon","Park Sun-young, Ryu Soo-young",-,KBS2,16,"March 7 –
April 26, 2005",2005,-,"Yoo Hye-chan (Park Sun-young) is a 29-year-old housewife who's unhappily married to a top acting star, Kang Sang-young (Ryu Soo-young). While on her way to court to file for divorce, a car accident drastically changes her life. Though she physically recovers,retrograde amnesiacauses Hye-chan to mentally revert to that of an 18-year-old girl, and she finds everything around her unfamiliar."
Zombie Detective,-,Baek Eun-jin,Shim Jae-hyun,"Choi Jin-hyuk, Park Ju-hyun, Kwon Hwa-woon","Comedy, Fantasy, Mystery",KBS2,24,"September 21 –
October 27, 2020",2020,-,"Kang Min-ho (Choi Jin-hyuk) wakes up and discovers that he is a zombie with no memories of his past. He trains himself to walk and talk like a human, covers up his scars with makeup, and assumes the identity of private detective Kim Moo-young while trying to solve the mystery of his past. Gong Sun-ji (Park Ju-hyun) is a former investigative journalist who gets hired as a part-time assistant at Moo-young's agency. She discovers Moo-young's zombie secret, and the two team up to solve crimes and discover the mystery behind the existence of zombies."
Love Story in Harvard,-,"Choi Wan-kyu, Son Eun-hye","Lee Jang-soo, Lee Jin-suk","Kim Rae-won, Kim Tae-hee","Romance, Drama",SBS,16,"November 22, 2004 –
January 11, 2005","2004, 2005",-,"The first half of the series is set atHarvard Universityand is mainly concerned with the burgeoning relationship between aHarvard Law Schoolstudent, Kim Hyun-woo (Kim Rae-won), and aHarvard Medical Schoolstudent, Lee Soo-in (Kim Tae-hee)."
Dr. Frost (TV series),-,Heo Ji-young,Sung Yong-il,"Song Chang-eui, Jung Eun-chae, Lee Yoon-ji, Sung Ji-ru, Choi Jung-woo","Crime, Thriller, Mystery",OCN,10,"November 23, 2014 –
February 1, 2015","2014, 2015",-,"Baek Nam-bong is a hand thirty-four year old professor ofpsychologyby day andbartenderby night, and he is nicknamed ""Dr. Frost"" because of his premature white hair. He sustained afrontal lobe injuryin his childhood, which heightened his reasoning centers togenius-level, but left him unable to feelempathy, love, sorrow and other emotional responses."
A Korean Odyssey,-,"Hong Jung-eun, Hong Mi-ran","Park Hong-kyun, Kim Jung-hyun, Kim Byung-soo","Lee Seung-gi, Cha Seung-won, Oh Yeon-seo, Lee Hong-gi, Jang Gwang","Fantasy, Romance, Comedy, Horror",tvN,20,"December 23, 2017 –
March 4, 2018","2017, 2018",-,"In 2017,Son Oh-gong(Lee Seung-gi) andWoo Ma-wang(Cha Seung-won) are in conflict with each other as they look for a true light in a dark world where evil thrives. From there, Son Oh-gong is bound to his protective role towardsJin Seon-mi(Oh Yeon-seo), the little girl he had met years ago. Having made a contract with Seon-mi 25 years ago, entitling her to seek help from Son Oh-gong whenever she calls him in exchange for letting him free, the two meet again in a fateful encounter. From there, Son Oh Gong is bound to his protective role towards Seon Mi, the little girl he had met years ago."
Fireworks (2006 TV series),-,Kim Soon-deok,"Jung Se-ho, Kim Hong-sun","Han Chae-young, Kang Ji-hwan, Park Eun-hye, Yoon Sang-hyun","Melodrama, Romance",MBC TV,17,"May 13 –
July 9, 2006",2006,-,"Headstrong and resourceful, Shin Na-ra once dreamed of becoming a career woman, but she spent the best years of her life supporting Kang Seung-woo, her boyfriend of seven years. Now he is a successful accountant and she is unemployed and rapidly approaching thirty. Na-ra hopes to marry Seung-woo, but after he returns from a business trip, he unexpectedly breaks up with her on their anniversary, telling her that not only did he have an affair, but he fell in love with the other woman, a cosmetics manager named Cha Mi-rae."
Liar Game (2014 TV series),-,Ryu Yong-jae,Kim Hong-sun,"Kim So-eun, Lee Sang-yoon, Shin Sung-rok","Mystery, Thriller",tvN,12,"October 20 –
November 18, 2014",2014,-,"Nam Da-jung (Kim So-eun) is an innocent college student who passes a hidden camera audition and is invited to join thereality showLiar Game, a psychological survival game wherein participants trick each other and the one who ultimately succeeds wins the prize money of ₩10 billion (US$9.3 million). Tempted by the chance to pay off her debts, Da-jung joins the game and gets conned out of the initial money given to her. In desperation, she asks genius ex-con swindler and former psychology professor Ha Woo-jin (Lee Sang-yoon) to help her win the game."
Golden Fish (TV series),Goldfish,Jo Eun-jung,"Oh Hyun-chang, Joo Sung-woo","Park Sang-won, Lee Tae-gon, Jo Yoon-hee, So Yoo-jin","Melodrama, Romance",Munhwa Broadcasting Corporation,133,"May 3 –
November 11, 2010",2010,-,"Lee Tae-young has long been hardened from growing up in an unloving family. The only person whom he can open his heart to is his stepsister Han Ji-min, but their love is tested by his stepmother's manipulations and the cruelty of fate."
Boyhood (TV series),-,Kim Jae-hwan,Lee Myung-woo,"Im Si-wan, Lee Sun-bin, Lee Si-woo, Kang Hye-won",Teen comedy,Coupang Play,10,"November 24 –
December 22, 2023",2023,-,"Set in the backdrop of the mid-to-late 1980s, the drama tells the story of students at an agricultural high school in Chungcheong Province. Jang Byung Tae is a small and weak boy living in Onyang in South Chungcheong Province. He is at the bottom of the school's social ladder so he transfers to the neighboring Buyeo Agricultural High School. There, he faces an unexpected incident that becomes a turning point in his life."
Friends (2002 TV series),-,-,"Nobuhiro Doi, Han Chul-soo","Won Bin, Kyoko Fukada",-,"TBS
MBC",4,"February 4 –
February 5, 2002",2002,-,"Tomoko, aJapanesetourist, and Ji-hoon, aSouth Koreanfilm student and aspiring movie director, meet in Hong Kong. Despite a rocky meeting and thelanguage barrier, they become friends. Over time, they eventually head back to their respective countries but only after exchangingemailaddresses, promising to keep in touch and meeting again. Tomoko decides to go to Korea to work as a tour guide and sees Ji-hoon again, but problems occur."
Grudge: The Revolt of Gumiho,-,"Oh Sun-hyung, Jung Do-yoon","Lee Gun-joon, Lee Jae-sang","Han Eun-jung, Jang Hyun-sung, Kim Yoo-jung, Seo Shin-ae","Period drama, Horror, Thriller",Korean Broadcasting System,16,"5 July –
24 August 2010",2010,-,"Set during theJoseonperiod,a beautifulgumiho(nine-tailed fox in Koreanfolklore) named Gu San-daek leaves her husband after he breaks his promise— ""be trustworthy ; do not speak of the gumiho who tried to kill you to anyone""—, and his betrayal renders her unable to shapeshift(after the tenth year of their marriage. if he had kept his promise, she would have been free of the ""curse""). San-daek has a daughter, Yeon-yi. Born of a human father and a fox mother, the innocent young girl has yet to gain the ability to use her gumiho powers. The two cursed souls wander searching for a safe place to stay, and arrive at a village where they meet Yoon Doo-soo, a seemingly kind and gentle former official. But Doo-soo's daughter Cho-ok suffers from a mystical disease, and the only way to save her is to feed her theliverof a girl of the same age. When he realizes that San-daek and her daughter have no place to go, and that Yeon-yi is the same age as his daughter, he takes them in and awaits the perfect time to strike. But Doo-soo begins to fall for San-daek, and Cho-ok starts to envy her father's interest in the mysterious mother and daughter. Meanwhile, as Yeon-yi turns ten years old, her physical transformation begins, and thus the tale of love, betrayal, friendship and jealousy begins."
Trolley (TV series),-,Ryu Bo-ri,Kim Mun-kyo,"Kim Hyun-joo, Park Hee-soon","Mystery, Melodrama",SBS TV,16,"December 19, 2022 –
February 14, 2023","2022, 2023",-,"Trolleytells the story of the wife of a member of the National Assembly who lives quietly while hiding a secret from her past, and the dilemmas that ensue as her secrets are revealed to the world."
Wok of Love,-,Seo Sook-hyang,Park Seon-ho,"Lee Jun-ho, Jang Hyuk, Jung Ryeo-won","Drama, Romance, Comedy",SBS TV,38,"May 7 –
July 17, 2018",2018,-,"A charming love story of a group of men and women that is hotter than the boiling oil in a sizzling hot wok. Across the street of the six-star Giant Hotel, there stood a small and shabby Chinese restaurant called Hungry Wok. Doo Chil-sung, the owner of the restaurant and a former gangster from the Big Dipper Gang, took over the restaurant in order to provide a place of work for his former gang members. One day, former star chef Seo Poong, and bankrupt heiress Dan Sae-woo, whose lives were turned upside down overnight, came to visit Chil-sung for his help to get them back on their feet."
The Silent Sea (TV series),-,Park Eun-kyo,Choi Hang-yong,"Bae Doona, Gong Yoo, Lee Joon, Kim Sun-young, Lee Moo-saeng","Science fiction, Thriller, Mystery",Netflix,8,"December 24, 2021",2021,-,"On a near-future Earth suffering from extremedesertification, draconian measures have been put in place for potable water rationing. Scientist Song Ji‑An (Bae Doona) joins a hand-picked team of elite personnel on a mission to the Moon. They are headed to an abandoned research facility,Balhae Station, where her sister died five years prior, after 117 personnel were killed in an incident. The circumstances surrounding the incident are secret. Their mission is to retrieve a mysterious and sensitive sample. The captain of the team, Han Yun‑Jae (Gong Yoo), is a soldier for the space agency. Lieutenant Ryu Tae‑seok (Lee Joon) of the Ministry of National Defense volunteers to be part of the crew."
Judge Lee Han-young,-,Kim Kwang-min,"Lee Jae-jin, Park Mi-yeon","Ji Sung, Park Hee-soon, Won Jin-ah, Baek Jin-hee",Legal drama,MBC TV,-,-,-,-,"A legal drama about just judge Lee Han-young, who cries out, ""Let's not judge others' lives as we please,"" regains consciousness after an unjust death and returns to the past to punish the wrongdoers and change his fate."
Dating Agency: Cyrano,-,Shin Jae-won,Kang Kyung-hoon,"Lee Jong-hyuk, Choi Soo-young, Lee Chun-hee, Hong Jong-hyun, Cho Yoon-woo","Romance, Comedy",tvN,16,"May 27 –
July 16, 2013",2013,-,"This drama is about a dating agency that orchestrates romantic scenarios for paying clients, all in an effort to raise enough money to save an old theater. After Seo Byung-hoon (Lee Jong-hyuk) loses his best friend in an accident, the once-renowned theater director suffers from guilt and decides to save his late friend's theater troupe. Using his masterful stage skills, he forms the Cyrano Dating Agency."
Joseon Attorney,Joseon Attorney: A Morality,Choi Jin-young,"Kim Seung-ho, Lee Han-joon","Woo Do-hwan, Bona, Cha Hak-yeon","Period drama, Revenge, Action, Legal, Romance",MBC TV,16,"March 31 –
May 20, 2023",2023,-,The series is about aoejibu(attorney) who takes revenge on the enemy who killed his parents through trial.
History of a Salaryman,Salaryman Cho Han Ji,"Jang Young-chul, Jung Kyung-soon",Yoo In-shik,"Lee Beom-soo, Jung Ryeo-won, Jung Gyu-woon, Hong Soo-hyun","Comedy, Thriller, Romance",SBS TV,22,"January 2 –
March 13, 2012",2012,-,"Yoo-bang (Lee Beom-soo) sneaks into a villa at night and discovers the dead body of Chunha Medical Group executive Ho-hae (Park Sang-myun). His niece Yeo-chi (Jung Ryeo-won) is hiding in the room. At the funeral, both Yoo-bang and Yeo-chi get arrested for murder. How did things come to this? It all began three months ago when Chunha begantrial testingfor their new medicine. In exchange for a job recommendation from Ho-hae, Yoo-bang agrees to join the trial testing and steal information about the drug. Rival company director Hang-woo (Jung Gyu-woon) is also there undercover to find out about the new drug. Spoiled rich girl Yeo-chi is undergoing training because her grandfather wants her to inherit Chunha one day, though she herself is completely uninterested. For the trial testing, 30 testers, including Yoo-bang and Hang-woo, are shut off from the outside world for 10 days. During the trial period, strange things begin to happen..."
Golden Pouch,-,Lee Hye-sun,Kim Dae-jin,"Jin Yi-han, Ryu Hyo-young","Family, Romantic drama",MBC TV,122,"November 14, 2016 –
June 1, 2017","2016, 2017",-,"Han Seok-hoon (Kim Ji-han), who was given up for adoption at six, tries to find his birth parents in South Korea. An accident on his wedding day leaves him with amnesia, and he mistakenly believes that the parents of Geum Seol-hwa (Ryu Hyo-young), a young TV producer, are his real parents. He stays with the family while recovering and experiences a feeling of family for the first time."
Temptation (2014 TV series),Seduction,Han Ji-hoon,Park Young-soo,"Kwon Sang-woo, Choi Ji-woo, Lee Jung-jin, Park Ha-sun","Romance, Melodrama, Erotica Drama",SBS TV,20,"July 14 –
September 16, 2014",2014,-,"Cha Seok-hoon is a naive man who grew up a rural village inGangwon Province. His intellect gets him into the country's top university despite his family's economic plight, and he takes on all sorts of part-time jobs, from quick services to construction work, in order to earn his tuition."
Villains Everywhere,-,"Chae Woo, Park Kwang-yeon","Kim Young-jo, Choi Jung-eun","Oh Na-ra, So Yoo-jin, Seo Hyun-chul, Song Jin-woo, Park Young-gyu","Sitcom, Family drama",KBS2,12,"March 19 –
April 24, 2025",2025,-,The series revolves around the daily lives of two middle-aged sisters and their families.
XX (web series),-,Lee Seul,Kim Joon-mo,"Ahn Hee-yeon, Hwang Seung-eon, Bae In-hyuk, Lee Jong-won",Romantic drama,"V Live, MBC TV, Naver TV Cast, YouTube, Facebook","10 (V Live)
5 (MBC TV)","January 24 –
February 21, 2020",2020,-,"The story of Yoon Na-na, a bartender who works at the speakeasy bar XX."
Secret Garden (South Korean TV series),-,Kim Eun-sook,"Shin Woo-chul, Kwon Hyuk-chan","Ha Ji-won, Hyun Bin, Yoon Sang-hyun, Kim Sa-rang","Romance, Comedy, Fantasy",SBS TV,20,"13 November 2010 –
16 January 2011","2010, 2011",-,"A rationalizing Cinderella story between Gil Ra-im (Ha Ji-won), a stuntwoman, and Kim Joo-won (Hyun Bin), a high-end department store CEO."
Family: The Unbreakable Bond,-,Jeong Yoo-seon,"Jang Jeong-do, Lee Jung-mook","Jang Hyuk, Jang Na-ra, Chae Jung-an, Kim Nam-hee","Comedy drama, Spy",tvN,12,"April 17 –
May 23, 2023",2023,-,"The series tells the story of Kwon Do-hoon (Jang Hyuk), an NIS black agent husband who disguises himself as an ordinary office worker, and Kang Yoo-ra (Jang Na-ra), a sweet and fierce wife who dreams of a perfect family."
Marry Him If You Dare,"Mirae's Choice, Future's Choice, The Future Choice, Choice of the Future",Hong Jin-ah,"Kwon Kye-hong, Yoo Jong-sun","Yoon Eun-hye, Lee Dong-gun, Jung Yong-hwa, Han Chae-ah, Choi Myung-gil","Romance, Drama, Time travel",Korean Broadcasting System,16,"14 October –
3 December 2013",2013,-,"Set in the world of television broadcasting, Na Mi-raetravels back in timeto prevent her 32-year-old self from marrying news anchor Kim Shin, thus sending her past self down a different path and enabling her to pursue the things she really wanted in life."
Snow Flower (TV series),Snowflakes,Park Jin-woo,Lee Jong-soo,"Kim Hee-ae, Go Ara, Lee Jae-ryong, Kim Ki-bum",-,Seoul Broadcasting System,16,"November 20, 2006 –
January 9, 2007","2006, 2007",-,"When she was young, Yoo Da-mi (Go Ara) was forced to move in with her grandmother. Her father subsequently disappeared from her life, and since then, she'd always believed that he'd died. As time passes, her mother Lee Kang-ae (Kim Hee-ae) becomes one of the country's bestselling authors. Consequently, she never found time to spend with her daughter. One day, Da-mi accidentally intercepts a phone call from her father, Yoo Geon-hee (Lee Jae-ryong), and realizes that her mother has lied to her all these years about her father's whereabouts. Angry, Da-mi rebels by deciding not to go to college, despite having excellent grades in high school. On a whim, she accompanies her friend to an audition, and becomes an actress instead. Coincidentally, the first film Da-mi stars in is based on one of Kang-ae's novels. During one of their heated arguments, Da-mi tells her mother that she's going to Japan to search for her father. Meanwhile, at her side is her boss's stepbrother, Ha Young-chan (Kim Kibum), a family friend who secretly loves Da-mi and keeps helping her even though she's rejected his feelings."
VIP (South Korean TV series),-,Cha Hye-won,Lee Jung-rim,"Jang Na-ra, Lee Sang-yoon, Lee Chung-ah, Kwak Sun-young, Pyo Ye-jin, Shin Jae-ha","Mystery, Drama",SBS TV,16,"October 28 –
December 24, 2019",2019,-,The story of Sung Un Department Store's team who works for the VIP clients which constitute the top 1% of their customers.
Miss Night and Day,-,Park Ji-ha,"Lee Hyeong-min, Choi Sun-min","Lee Jung-eun, Jung Eun-ji, Choi Jin-hyuk","Romantic comedy, Fantasy, Mystery",JTBC,16,"June 15 –
August 4, 2024",2024,-,"Miss Night and Daytells the story about a job seeker who is suddenly stuck in old age one day and aprosecutorwho is caught up in her all the time. Lim Soon, a woman in her 50s, is a secondary character to Lee Mi-jin, who goes to work as a publicinternwhen the sun rises."
Shadow Detective,Old Detective,"Lim Chang-se, Hwang Seol-hun, Son Jeong-woo",Han Dong-hwa,"Lee Sung-min, Jin Goo, Kyung Soo-jin, Lee Hak-joo",Crime thriller,Disney+,16,"October 26, 2022 –
July 26, 2023","2022, 2023",-,-
Dear X (TV series),-,Choi Ja-won,"Lee Eung-bok, Park So-hyun","Kim Yoo-jung, Kim Young-dae, Kim Do-hoon, Lee Yul-eum","Melodrama, Thriller",TVING,-,Upcoming,-,-,"Dear Xfollows Baek Ah-jin, a top actress who leverages her beauty and popularity to further her career through manipulation. She harbors a lot of grudges behind her somewhat good-natured demeanor."
Trigger (South Korean TV series),-,Kwon Oh-seung,Kwon Oh-seung,"Kim Nam-gil, Kim Young-kwang","Action, Thriller",Netflix,10,"July 25, 2025",2025,-,"Triggerfollows a rise in illegalgun distributionand escalating gun crimes. The story centers on two men—one a righteous police officer, the other a cunning arms dealer—who wield weapons for vastly different reasons."
Legend of the Patriots,Comrades,"Lee Eun-sang, Kim Pil-jin","Kim Sang-hwi, Song Hyun-wook",-,-,KBS2,20,"19 June –
22 August 2010",2010,-,"The series begins with the ROK Army crossing of the 38th parallel while UN planes begin bombing Pyongyang, the capital of North Korea. The Korean People's Army (KPA) begins a fighting withdrawal from the city. Sergeant First Class Lee Hyun-joong (Choi Soo-jong) leads his squad forward into the city and not long afterwards the Republic of Korea Army (ROKA) captures the capital. Major General Yong Park (Lee Deok-hwa) is elated by his Division's involvement in capturing the Communist stronghold."
"Ms. Ma, Nemesis",-,Park Jin-woo,"Min Yeon-hong, Lee Jung-hoon","Yunjin Kim, Jung Woong-in, Ko Sung-hee, CNU","Mystery, Revenge",SBS TV,32,"October 6 –
November 24, 2018",2018,-,Ms. Ma is sent to jail after being accused of killing her daughter. She escapes in order to find the real murderer and starts solving other cases.
The Art of Negotiation,-,Lee Seung-young,Ahn Pan-seok,"Lee Je-hoon, Kim Dae-myung, Sung Dong-il, Jang Hyun-sung, Oh Man-seok, Ahn Hyun-ho, Cha Kang-yoon",Workplace,JTBC,12,"March 8 –
April 13, 2025",2025,-,"The series depicts the exploits of a major corporation'sM&Aexpert, known as a legendary negotiator, and his team."
"90 Days, Time to Love","90 Days of Love, 90 Days of Falling in Love, 90 Days of Romance",Park Hae-young,Oh Jong-rok,"Kang Ji-hwan, Kim Ha-neul, Jung Hye-young, Yoon Hee-seok","Melodrama, Romance",MBC TV,16,"November 15, 2006 –
January 4, 2007","2006, 2007",-,"Hyun Ji-seok (Kang Ji-hwan), a university professor, and Go Mi-yeon (Kim Ha-neul), a scriptwriter, were high school sweethearts who discover that they arecousins. They break up, but find themselves attracted to one another once again when they meet inSeoulfour years later. They decide to abandon everything and leave for America so that they can get married. However, Ji-seok's father finds out and runs in front of a truck, committing suicide, so that his son doesn't go. Although their visas have just been issued, Ji-seok cannot marry Mi-yeon knowing that their relationship was the cause of his father's death. He abandons Mi-yeon and marries Park Jeong-ran (Jung Hye-young), the daughter of his father's business rival, who is in love with him. They have a daughter, but their marriage is loveless. Mi-yeon goes on to marry another man, Kim Tae-hoon (Yoon Hee-seok)."
A Beautiful Mind (TV series),Dr. Frankenstein,Kim Tae-hee,Mo Wan-il,"Jang Hyuk, Park So-dam, Yoon Hyun-min, Park Se-young, Huh Joon-ho","Medical, Melodrama, Mystery",KBS2,14,"June 20 –
August 2, 2016",2016,-,"Inspired byMary Shelley'sgothicnovelFrankenstein,A Beautiful Mindtells the story of a world-renowned but unsympathetic neurosurgeon, and his involvement with the mysterious deaths in the hospital he works in."
The Second Husband,-,Seo Hyeon-joo,Kim Chil-bong,"Cha Seo-won, Uhm Hyun-kyung, Oh Seung-ah, Han Ki-woong","Melodrama, Revenge, Romance",MBC TV,150,"August 9, 2021 –
April 5, 2022","2021, 2022",-,"Second Husbandis a passionate romance story. It revolves around Bong Seon-hwa (Uhm Hyun-kyung) and her family surrounding a confectionery company. She underwent an unfortunate childhood, but due to her strong and positive personality, she rises up. Growing up in the same neighborhood she had a long relationship with Moon Sang-hyeok (Han Ki-woong). But, when she unjustly loses her family due to a tragedy born out of an unstoppable desire, she pledges revenge in the mixed fate and love. Bong Seon-Hwa transforms into 'Sharon' in order to restore what was hers."
Gracious Revenge,"Perfect Mother and Daughter, Elegant Mother and Daughter",Oh Sang-Hee,Eo Soo-Sun,"Choi Myung-gil, Cha Ye-ryun, Kim Heung-soo, Oh Chae-yi","Melodrama, Revenge, Family, Romance",KBS2,103,"November 4, 2019 –
March 27, 2020","2019, 2020",-,A story of a woman who was raised as a tool for her mother's revenge and her dangerous love life will be introduced.
Salon de Holmes,-,Kim Yeon-shin,"Min Jin-ki, Jeong Hyeon-nam","Lee Si-young, Jung Young-joo, Kim Da-som, Nam Gi-ae",Action comedy,ENA,10,"June 16 –
July 15, 2025",2025,-,It is about four women from different backgrounds who come together to punish troublemakers in their compound.
